mlp,loss,params,tps
mishglu,6.2091446,9.712384,22741.63058468145
rwkv_relu_square,6.3610363,5.387008,27779.205673598317
llama_silu,6.632977,6.563584,27288.45399565256
linear_gelu,5.835774,4.992256,32332.795422936135

mishglu_j3,6.8097234,,22592.991889869503
rwkv_relu_square_j3,7.299773,,27691.80173615057
llama_silu_j3,7.6421804,,27169.430179330673
linear_gelu_j3,7.056671,,32862.42758016494

mish_jt,7.5920076,38.040832,7564.2056176322185
rwkv_relu_square_jt,7.1998963,20.739328,12707.379792301548
llama_silu_jt,7.029874,25.451776,10743.629400747306
linear_gelu_jt,7.1301703,19.163392,13912.66149621367

mish_j2,6.1707544,39.613696,7034.581571876528
rwkv_relu_square_j2,5.594488,23.885056,11125.28748143073
llama_silu_j2,5.974229,27.02464,9893.0637946235
linear_gelu_j2,4.9275837,20.733184,12099.777570870163
linearj2_swiglu_j2,5.738967,27.02464,10032.15756330001
linearj2_glu_nb_j2,5.095739,27.02464,10053.927138319214
